OTU	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
Other genus (order Actinomycetales)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.83e-05	3.71e-05	0.0	5.63e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.14e-06	0.0	0.0	3.88e-06	0.0	0.0	1.87e-05	0.0	3.26e-06	0.0	0.0	0.0	0.0	4.4e-05	0.0	0.0	0.0	0.0	0.0	7.43e-06	8.84e-06	0.0	2.85e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Unknown genus (order Actinomycetales)	5.42e-05	0.0	0.0	0.0	0.0	1.09e-05	0.0	0.0	0.000413505	0.002291027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.400000000000001e-05	0.000220771	0.0	0.0	0.0	0.0	0.000157186	0.0	0.0	0.0	0.0	9.18e-05	0.000362324	0.0	1.96e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.36e-05	0.0	0.0006546740000000001	0.0	0.0	0.0	0.0	2.2e-05	0.0	0.0	0.000131011	1.14e-05	0.0	0.0	2.28e-05	0.0
Other genus (family Actinomycetaceae)	0.013645963	0.000183986	1.51e-05	0.000449889	0.00032794300000000003	2.46e-05	0.000920602	0.0	7.66e-06	4.45e-05	6.6e-06	0.000123923	0.0	0.000621134	0.003079368	0.000731282	0.000571617	6.159999999999999e-05	0.0	0.0	7.12e-06	0.0	4.51e-05	1.29e-05	7.79e-05	0.000165417	0.006764684	1.26e-05	0.0	0.000562725	0.000143984	0.0	0.000135698	9.89e-05	1.67e-05	1.12e-05	0.0	3.26e-06	0.048925197	0.020068128	4.07e-05	0.00035707400000000003	7.33e-06	0.0	1.3699999999999998e-05	0.028218049	0.000165464	0.0	0.0	0.0	7.67e-06	0.00014232	2.24e-05	0.0	3.43e-05	0.0	0.0	1.63e-05	1.04e-05	0.0	0.0	0.000102473	2.37e-05	9.11e-05	2.22e-05
Actinobaculum	0.012292197	0.0	3.02e-06	0.0	6.13e-05	0.001633683	8.499999999999999e-05	0.000100999	0.000199095	0.000244673	0.0	0.058711204	2.4100000000000006e-05	8.39e-06	0.000869177	0.008465995	0.0	0.023431246	0.005875647	0.0	3.56e-06	0.00292201	1.5e-05	0.000159542	0.001090867	0.0	0.002254895	4.19e-06	3.75e-05	0.000163473	2.88e-05	0.0	0.001151493	0.011782766	0.0	0.009752872	0.0	6.52e-06	0.068165661	0.0	0.0	0.0	0.00266868	0.000360181	0.00015780299999999998	0.000549702	1.27e-05	0.0	0.0	0.0	6.9e-05	5.69e-05	0.0	0.000131229	0.0	0.0	3.67e-06	0.0	5.18e-06	0.001056537	7.62e-06	1.55e-05	2.37e-05	0.000404226	2.22e-06
Actinomyces	0.004765257	0.000183986	3.02e-06	0.001083822	3.6e-05	0.001710305	0.003427471	0.011653714	0.006034106	0.00071919	3.63e-05	0.001920802	6.02e-05	2.52e-05	0.010281117	0.018816448	0.000307794	0.060286963	0.013592914	0.0	0.002179549	2.87e-06	0.012428061	0.000957251	0.000688285	3.68e-05	3.67e-05	4.19e-06	0.000614859	0.000723054	5.76e-05	0.00032955800000000003	8.92e-05	0.00079138	5.84e-05	0.00074706	0.000761744	8.149999999999999e-05	0.0006850819999999999	0.009552725	0.0	0.0	0.00021628	9.24e-05	0.002572881	0.002198809	0.0	4.71e-05	2.97e-05	0.001063811	0.000138082	0.001907093	8.98e-06	2.5e-05	0.0	0.0	0.000421511	0.0	1.04e-05	0.002108849	7.62e-06	1.24e-05	0.00011863	0.000222039	2.22e-06
Arcanobacterium	0.0	0.001398293	0.0	0.000112472	0.0	0.001992163	0.0	5.18e-05	0.003583708	2.22e-05	3.3e-06	0.005672281	0.0	0.0	4.9700000000000015e-05	0.005175226	0.0	0.000708172	0.000876962	0.0	0.0	6.6e-05	7.52e-06	7.209999999999999e-05	0.0	0.0	0.0	0.0	2.25e-05	3.14e-06	0.0	0.0	0.000147329	6.59e-05	0.000959829	0.000575236	0.0	5.21e-05	6.46e-06	0.0	0.0	0.0	0.000553531	0.0	9.61e-05	0.0	1.27e-05	0.0	0.008329898	0.002711097	0.0	0.0	0.0	0.00014997600000000002	0.0	0.0	0.000161274	0.0	0.0	0.0	0.000708515	0.0	7.120000000000001e-05	0.000150873	0.0
Mobiluncus	0.007418639	0.002796585	1.51e-05	0.0	5.770000000000001e-05	0.001827973	0.000297425	7.25e-05	0.005773751999999999	0.000118629	3.3e-06	0.001689855	6.02e-05	0.0	0.000198669	0.028773134	0.0	0.000307901	0.010172762	0.0	0.0	0.0	0.0	5.400000000000001e-05	2.6e-05	0.0	3.67e-05	0.0	0.0	0.005404046	0.0	0.0	0.000538914	0.001520475	0.00059259	0.002442887	0.0	7.49e-05	0.000303763	0.0	0.0	0.0	0.000377574	0.0	0.002154359	0.0	1.27e-05	0.000250992	0.00021911	0.0183058	6.14e-05	0.000398497	2.24e-05	0.003224476	0.0	0.0	0.000630434	0.0	3.620000000000001e-05	5.920000000000001e-05	0.000579001	1.55e-05	0.0	0.00014518	0.0
Trueperella	0.0	0.0	0.0	0.000112472	0.0	0.0	0.0	0.0	0.001807169	0.001371651	0.0	0.0	0.0	0.0	0.000248336	0.0	0.0	0.0	0.0	0.0	0.0	1.7199999999999998e-05	0.0	0.000257325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.73e-05	0.0	0.000267457	0.0	0.001531474	0.0	2.93e-05	0.0	0.0	0.0	0.0	2.93e-05	0.0	0.0	0.0	7.64e-05	0.0	0.0	2.36e-05	0.0	0.0	0.0	0.0	0.0	0.0	2.57e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Varibaculum	0.00422375	0.0	6.04e-06	0.000204495	1.8e-05	2.19e-05	8.499999999999999e-05	0.000341842	0.002986423	5.93e-05	0.0	0.0008674589999999999	0.0	0.0	0.002582696	0.0	0.0	0.000800542	0.015434535	0.0	3.56e-06	0.000127605	0.0	4.120000000000001e-05	0.000389595	0.0	0.0	0.0	0.000269938	0.002797906	0.001065484	0.0	6.2e-05	0.000120905	0.000200312	0.002061886	0.0	1.96e-05	2.59e-05	0.000296209	0.0	0.000384541	0.001077736	0.0	0.000686102	0.0005038940000000001	2.55e-05	7.840000000000001e-05	0.0	0.001414486	5.37e-05	0.000284641	4.49e-06	0.0	0.0	1.56e-05	2.93e-05	0.0	3.11e-05	0.000152141	7.62e-06	6.21e-06	0.0	2.28e-05	0.0
Brevibacterium	0.0	0.0	3.02e-06	0.0	0.0	5.47e-06	0.001359658	5.18e-06	0.002435084	0.001297507	3.3e-06	0.0	0.0	2.52e-05	0.0	0.0	0.0	0.0	8.77e-05	0.0	3.56e-06	0.0	0.0	0.0017215070000000002	0.000103892	0.0	0.007479650999999999	0.0	0.000112474	0.0008582339999999999	8.640000000000001e-05	0.002410976	0.0	3.66e-06	0.001218566	0.000754531	0.0	0.000120559	0.0	0.0	0.0	0.0	0.0	0.0	0.005420203	4.58e-05	0.0	0.0	1.49e-05	9.43e-05	0.0	0.001878629	0.0	0.0	0.0	0.0	0.000157608	0.0	0.0	0.000147915	3.81e-06	0.0	0.0	0.000424152	0.0
